SKU,Name,DisplayName,Description,Type,Thickness,ProductType,FranchisePrice,RetailPrice,UOM,TypeCode,ColorCode,ProfileCode,VendorName
EB-0014-0000042,White Regular,White Regular,White Regular 1mm,2,0.039,EB,0.38,0.38,LF,1037,880073,120,Tafisa
PM-0014-0000809,Glacier White,Glacier White,Glacier White 3/4,2,0.75,PM,3.49813,17.76,SF,15200,880074,120,Tafisa
PM-0014-0000808,Glacier White,Glacier White,Glacier White 1/4,2,0.25,PM,3.49813,17.76,SF,20100,880074,120,Tafisa
EB-0014-0000043,Glacier White,Glacier White,Glacier White 1mm,2,0.039,EB,0.38,0.38,LF,1037,880074,120,Tafisa
PM-0014-0000811,Niagara,Niagara,Niagara 3/4,2,0.75,PM,3.49813,17.76,SF,15200,880075,120,Tafisa
PM-0014-0000810,Niagara,Niagara,Niagara 1/4,2,0.25,PM,3.49813,17.76,SF,20100,880075,120,Tafisa
EB-0014-0000044,Niagara,Niagara,Niagara 1mm,2,0.039,EB,0.38,0.38,LF,1037,880075,120,Tafisa
PM-0014-0000813,Antique White,Antique White,Antique White 3/4,2,0.75,PM,3.49813,17.76,SF,15200,880076,120,Tafisa
PM-0014-0000812,Antique White,Antique White,Antique White 1/4,2,0.25,PM,3.49813,17.76,SF,20100,880076,120,Tafisa
EB-0014-0000045,Antique White,Antique White,Antique White 1mm,2,0.039,EB,0.38,0.38,LF,1037,880076,120,Tafisa
PM-0014-0000815,Folkstone Grey,Folkstone Grey,Folkstone Grey 3/4,2,0.75,PM,3.49813,17.76,SF,15200,880077,120,Tafisa
PM-0014-0000814,Folkstone Grey,Folkstone Grey,Folkstone Grey 1/4,2,0.25,PM,3.49813,17.76,SF,20100,880077,120,Tafisa
EB-0014-0000046,Folkstone Grey,Folkstone Grey,Folkstone Grey 1mm,2,0.039,EB,0.38,0.38,LF,1037,880077,120,Tafisa
PM-0014-0000817,London Grey,London Grey,London Grey 3/4,2,0.75,PM,3.49813,17.76,SF,15200,880078,120,Tafisa
PM-0014-0000816,London Grey,London Grey,London Grey 1/4,2,0.25,PM,3.49813,17.76,SF,20100,880078,120,Tafisa
EB-0014-0000047,London Grey,London Grey,London Grey 1mm,2,0.039,EB,0.38,0.38,LF,1037,880078,120,Tafisa
PM-0014-0000819,Storm,Storm,Storm 3/4,2,0.75,PM,3.49813,17.76,SF,15200,880079,120,Tafisa
