Description,SKU,Name,DisplayName,FranchisePrice,RetailPrice,UOM,ProductType,VendorName,VendorItemNum,Type,Thickness,TypeCode,ColorCode,ProfileCode
"Synergy Belt Matt Ni 12""",AC-0000141,"Synergy Belt Matt Ni 12""",Synergy Belt Matt Ni 12in,17.248,59.506,EA,AC,HAFELE,807.54.630,4,1,0,0,0
"Synergy Belt Chrome 12""",AC-0000142,"Synergy Belt Chrome 12""",Synergy Belt Chrome 12in,17.248,59.506,EA,AC,HAFELE,807.54.230,4,1,0,0,0
"Synergy Belt White 12""",AC-0000143,"Synergy Belt White 12""",Synergy Belt White 12in,14.157,48.842,EA,AC,HAFELE,807.54.770,4,1,0,0,0
"Synergy Belt ORB 14""",AC-0000145,"Synergy Belt ORB 14""",Synergy Belt ORB 14in,20.537,70.853,EA,AC,HAFELE,807.54.131,4,1,0,0,0
"Synergy Belt Matt Alum 14""",AC-0000146,"Synergy Belt Matt Alum 14""",Synergy Belt Matt Alum 14in,19.382,66.868,EA,AC,HAFELE,807.54.931,4,1,0,0,0
"Synergy Belt Matt Ni 14""",AC-0000147,"Synergy Belt Matt Ni 14""",Synergy Belt Matt Ni 14in,19.129,65.995,EA,AC,HAFELE,807.54.631,4,1,0,0,0
"Synergy Belt Chrome 14""",AC-0000148,"Synergy Belt Chrome 14""",Synergy Belt Chrome 14in,19.382,66.868,EA,AC,HAFELE,807.54.231,4,1,0,0,0
"Synergy Tie ORB 12""",AC-0000150,"Synergy Tie ORB 12""",Synergy Tie ORB 12in,18.249,62.959,EA,AC,HAFELE,807.54.132,4,1,0,0,0
"Synergy Tie Matt Ni 12""",AC-0000151,"Synergy Tie Matt Ni 12""",Synergy Tie Matt Ni 12in,17.479,60.303,EA,AC,HAFELE,807.54.632,4,1,0,0,0
"Synergy Tie Chrome 12""",AC-0000152,"Synergy Tie Chrome 12""",Synergy Tie Chrome 12in,17.259,59.544,EA,AC,HAFELE,807.54.232,4,1,0,0,0
"Synergy Tie White 12""",AC-0000153,"Synergy Tie White 12""",Synergy Tie White 12in,13.882,47.893,EA,AC,HAFELE,807.54.772,4,1,0,0,0
"Synergy Tie Matt Alum 12""",AC-0000155,"Synergy Tie Matt Alum 12""",Synergy Tie Matt Alum 12in,17.468,60.265,EA,AC,HAFELE,807.54.932,4,1,0,0,0
