SKU,Name,DisplayName,Description,Type,Thickness,ProductType,FranchisePrice,RetailPrice,UOM,TypeCode,ColorCode,ProfileCode,VendorName,VendorItemNum
EB-0028-0000450,Ontano,Ontano,Ontano,2,0.039,EB,0.38,0.38,LF,1037,880025,120,EDGEBANDING SERVICES,0
PM-0028-0000684,Alno 3/4,Alno,Alno 3/4,2,0.75,PM,3.49813,17.76,SF,15200,880026,0,STEVENS,0
PM-0028-0000720,Alno250 1/4,Alno,Alno250 1/4,2,0.25,PM,3.49813,17.76,SF,20100,880026,0,STEVENS,0
EB-0028-0000451,Alno,Alno,Alno,2,0.039,EB,0.38,0.38,LF,1037,880026,120,EDGEBANDING SERVICES,0
PM-0028-0000685,Siberian 3/4,Siberian,Siberian 3/4,2,0.75,PM,3.49813,17.76,SF,15200,880027,0,STEVENS,0
PM-0028-0000721,Siberian250 1/4,Siberian,Siberian250 1/4,2,0.25,PM,3.49813,17.76,SF,20100,880027,0,STEVENS,0
EB-0028-0000452,Siberian,Siberian,Siberian,2,0.039,EB,0.38,0.38,LF,1037,880027,120,EDGEBANDING SERVICES,0
PM-0028-0000686,Kyushu 3/4,Kyushu,Kyushu 3/4,2,0.75,PM,3.49813,17.76,SF,15200,880028,0,STEVENS,0
PM-0028-0000722,Kyushu250 1/4,Kyushu,Kyushu250 1/4,2,0.25,PM,3.49813,17.76,SF,20100,880028,0,STEVENS,0
EB-0028-0000453,Kyushu,Kyushu,Kyushu,2,0.039,EB,0.38,0.38,LF,1037,880028,120,EDGEBANDING SERVICES,0
PM-0028-0000687,Formosa 3/4,Formosa,Formosa 3/4,2,0.75,PM,3.49813,17.76,SF,15200,880029,0,STEVENS,0
PM-0028-0000723,Formosa250 1/4,Formosa,Formosa250 1/4,2,0.25,PM,3.49813,17.76,SF,20100,880029,0,STEVENS,0
EB-0028-0000454,Formosa,Formosa,Formosa,2,0.039,EB,0.38,0.38,LF,1037,880029,120,EDGEBANDING SERVICES,0
PM-0028-0000688,Allaria 3/4,Allaria,Allaria 3/4,2,0.75,PM,3.49813,17.76,SF,15200,880030,0,STEVENS,0
PM-0028-0000724,Allaria250 1/4,Allaria,Allaria250 1/4,2,0.25,PM,3.49813,17.76,SF,20100,880030,0,STEVENS,0
EB-0028-0000455,Allaria,Allaria,Allaria,2,0.039,EB,0.38,0.38,LF,1037,880030,120,EDGEBANDING SERVICES,0
PM-0028-0000689,Laurel 3/4,Laurel,Laurel 3/4,2,0.75,PM,3.49813,17.76,SF,15200,880031,0,STEVENS,0
PM-0028-0000725,Laurel250 1/4,Laurel,Laurel250 1/4,2,0.25,PM,3.49813,17.76,SF,20100,880031,0,STEVENS,0
EB-0028-0000456,Laurel,Laurel,Laurel,2,0.039,EB,0.38,0.38,LF,1037,880031,120,EDGEBANDING SERVICES,0
PM-0028-0000690,Coastal 3/4,Coastal,Coastal 3/4,2,0.75,PM,3.49813,17.76,SF,15200,880032,0,STEVENS,0
PM-0028-0000726,Coastal250 1/4,Coastal,Coastal250 1/4,2,0.25,PM,3.49813,17.76,SF,20100,880032,0,STEVENS,0
EB-0028-0000457,Coastal,Coastal,Coastal,2,0.039,EB,0.38,0.38,LF,1037,880032,120,EDGEBANDING SERVICES,0
PM-0028-0000691,Natural Marrone 3/4,Natural Marrone,Natural Marrone 3/4,2,0.75,PM,3.49813,17.76,SF,15200,880033,0,STEVENS,0
PM-0028-0000727,Natural Marrone250 1/4,Natural Marrone,Natural Marrone250 1/4,2,0.25,PM,3.49813,17.76,SF,20100,880033,0,STEVENS,0
EB-0028-0000458,Natural Marrone,Natural Marrone,Natural Marrone,2,0.039,EB,0.38,0.38,LF,1037,880033,120,EDGEBANDING SERVICES,0
PM-0028-0000692,White Nebbia 3/4,White Nebbia,White Nebbia 3/4,2,0.75,PM,3.49813,17.76,SF,15200,880034,0,STEVENS,0
PM-0028-0000728,White Nebbia250 1/4,White Nebbia,White Nebbia250 1/4,2,0.25,PM,3.49813,17.76,SF,20100,880034,0,STEVENS,0
EB-0028-0000459,White Nebbia,White Nebbia,White Nebbia,2,0.039,EB,0.38,0.38,LF,1037,880034,120,EDGEBANDING SERVICES,0
