SKU,Name,DisplayName,Description,Thickness,RetailPrice,UOF,ProductType,ItemTypeCode,ItemColorCode,ItemProfileCode,VendorName,VendorItemNum
EB-0000279,EB TL Oxford White 1030,TL Oxford White,EB TL Oxford White .018  15/16 2002AA,0.018,0.096,LF,EB,1030,165357,1020,UKNOWN,0
EB-0000280,EB Opulent Olmo 1030,Opulent Olmo,EB OPULENT OLMO .018 15/16 8311,0.018,0.113,LF,EB,1030,152000,1020,UKNOWN,0
EB-0000281,EB Fog Grey 1030,Fog Gray,EB FOG GREY 018 15/16  2425,0.018,0.085,LF,EB,1030,126600,1020,UKNOWN,0
EB-0000283,EB Gunstock Walnut 1030,Gunstock Walnut,EB GUNSTOCK WLNT .018 15/16 30131,0.018,0.113,LF,EB,1030,129850,1020,UKNOWN,0
EB-0000284,EB Evening Shade 1030,Evening Shade,EB EVEN SHAD 018 1 5/16  5116,0.018,0.101,LF,EB,1040,123900,1020,UKNOWN,0
EB-0000286,EB Chusto Printatre 1030,EB CHUSTO PRINTATRE.018 3251,EB CHUSTO PRINTATRE.018 3251,0.018,0.133,LF,EB,1040,123069,1020,UKNOWN,0
EB-0000287,EB Antique White 1045,Antique White,EB Antique Wht 15/16 1MM,0.039,0.233,LF,EB,1045,111580,1020,UKNOWN,0
EB-0000288,EB Sunset 1030,Sunset,EB SUNSET 018 15/16 4101,0.018,0.123,LF,EB,1030,162860,1020,UKNOWN,0
EB-0000289,EB Afternoon Shower 1030,Afternoon Showers,EB Aftnoon Shw  018 15/16 5123,0.018,0.113,LF,EB,1030,111250,1020,UKNOWN,0
EB-0000290,EB Wild Cherry 1040,Wild Cherry,EB WILD CHERR 018 1 5/16 3777,0.018,0.101,LF,EB,1040,174350,1020,UKNOWN,0
EB-0000291,EB Mahogany 1040,Mahogany,EB MAHOGANY 018 1 5/16 3645,0.018,0.069,LF,EB,1040,147010,1020,UKNOWN,0
EB-0000293,EB Gotta Havit 1040,Gotta Havit,EB GOTTA HAVIT 018 1 5/16 5121,0.018,0.067,LF,EB,1040,129640,1020,UKNOWN,0
EB-0000294,EB Cabinet Almond 3030,Natural Almond,EB CAB ALMOM 3M 15/16  2114,0.118,0.356,LF,EB,3030,110200,1020,UKNOWN,0
EB-0000295,EB Electo Printatre 1030,Electo Printatre,EB ELECTO PRINTATRE.0183250,0.018,0.096,LF,EB,1040,123068,1020,UKNOWN,0
EB-0000296,EB Absolute Acajou 1030,Absolute Acajou,EB Absolute Acajou .018 15/16 8310,0.018,0.113,LF,EB,1030,111000,1020,UKNOWN,0
EB-0000297,EB Nightfall 1040,EB NIGHTFALL 018  1 5/16 4887R,EB NIGHTFALL 018  1 5/16 4887R,0.018,0.101,LF,EB,1040,150350,1020,UKNOWN,0
EB-0000298,EB Black 3030,Black,EB BLACK  3M 15/16    2416,0.118,0.267,LF,EB,3030,114450,1020,UKNOWN,0
EB-0000299,EB Antique Wht 1040,Antique White,EB Antique Wht 018 15/16 PAS463,0.018,0.105,LF,EB,1030,111580,1020,UKNOWN,0
EB-0000300,EB Mahogany Impression 1040,Mahogany Impression,EB MAHOGY IMP 018 1 5/16 4726R,0.018,0.067,LF,EB,1040,147030,1020,UKNOWN,0
EB-0000301,EB Twilight 1030,Twilight,EB TWILIGHT 15/16  5114,0.018,0.113,LF,EB,1030,165950,1020,UKNOWN,0
EB-0000302,EB Antique White 1040,Antique White,EB Antique Wht 018 1in 5/16 2115,0.018,0.173,LF,EB,1040,111580,1020,UKNOWN,0
